France	Technopôle Brest-Iroise	Brest Cedex 3, France	http://www.tech-brest-iroise.fr	48,3903923034668,-4,48607587814331	1	https://www.iasp.ws/our-members/directory/@6314	6314	Science Park	Agriculture and Forestry,Biotechnology,Computer Science and Hardwares,Electronics,Employee Education and Training,ICT & Communications
France	Technopole de l'Aube en Champagne	Rosières-près-Troyes, France	http://www.technopole-aube.fr	48,2698942979314,4,07278418540955	1	https://www.iasp.ws/our-members/directory/@157601	157601	Science Park	Computer Science and Hardwares,Electronics,ICT & Communications,Micromachines and Nanotechnology,Software Engineering
France	Technopôle Marseille Provence Château-Gombert	Marseille, Cedex 13, France	http://www.technopole-marseille.com	43,3426742553711,5,4363489151001	1	https://www.iasp.ws/our-members/directory/@6081	6081	Science Park	Computer Science and Hardwares,Energy,Optics
France	Toulon Var Technologies	Toulon, France	http://www.tvt.fr	43,136409,6,009097	1	https://www.iasp.ws/our-members/directory/@6083	6083	Science Park	Computer Science and Hardwares,ICT & Communications,Military and Defense,Off-Land Transportation,Optics
Germany	Sino German Hi Tech Park	Heidelberg, Germany	http://www.sg-hitech-park.com	49.36479629629632,8.705577777777762	1	https://www.iasp.ws/our-members/directory/@469501	469501	Area of Innovation	Advanced Services in Technology Transfer,Computer Science and Hardwares,Electronics,Health & Pharmaceuticals,Materials
Germany	Technologiepark Heidelberg GmbH	Heidelberg, Germany	http://www.technologiepark-heidelberg.de	49,4221115112305,8,67543029785156	1	https://www.iasp.ws/our-members/directory/@6086	6086	Science Park	Biotechnology,Health & Pharmaceuticals,Software Engineering
Germany	Technologiepark Ostfalen	Magdeburg-Barleben, Germany	http://www.tpo.de	52,1973609924316,11,5981292724609	1	https://www.iasp.ws/our-members/directory/@6088	6088	Science Park	Health & Pharmaceuticals,ICT & Communications,Manufacturing and Automation Technologies,Pure research,Software Engineering
Germany	Wista-Management GmbH Berlin Adlershof	Berlin, Germany	https://www.adlershof.de/en/	52,430823,13,533216	1	https://www.iasp.ws/our-members/directory/@6210	6210	Science Park	Biotechnology,Energy,Environment,ICT & Communications,Optics
Greece	Attica Technology Park 	Athens, Greece	http://www.demokritos.gr/lefkippos-tech-park/	37,979061126709,23,6885509490967	1	https://www.iasp.ws/our-members/directory/@6090	6090	Science Park	Biotechnology,Computer Science and Hardwares,Electronics,ICT & Communications,Materials
Greece	Science and Technology Park of Crete (STEP-C)	Heraklio, Greece	http://www.stepc.gr	35,3291625976562,25,1385269165039	1	https://www.iasp.ws/our-members/directory/@6092	6092	Science Park	Biotechnology,Environment,ICT & Communications,Materials
Greece	Thessaloniki Technology Park	Thessaloniki, Greece	http://www.thestep.gr	40,567024230957,22,998010635376	1	https://www.iasp.ws/our-members/directory/@6167	6167	Science Park	Biotechnology,Energy,Food Sciences,ICT & Communications,Materials
Hungary	Association of Industrial, Science, Innovation and Technology Parks	Budapest, Hungary	http://www.ipe.hu	47.51082592592593,19.070199999999886	1	https://www.iasp.ws/our-members/directory/@469343	469343	Association	
Iceland	The University of Iceland Science Park	Reykjavík, Iceland	http://www.visindagardar.is/	64.1431636,-21.9397097	1	https://www.iasp.ws/our-members/directory/@333101	333101	Science Park	Biotechnology,Civil Engineering,Computer Science and Hardwares,Health & Pharmaceuticals,ICT & Communications
India	Andhra Pradesh MedTech Zone Limited	Visakhapatnam, India	http://amtz.in/	17.805040740740743,83.39138518518507	1	https://www.iasp.ws/our-members/directory/@469328	469328	Science Park	Health & Pharmaceuticals,Manufacturing and Automation Technologies,Medical Equipment
